time,symbol,timeframe,open,high,low,close,tick_volume,real_volume,spread
2025-10-31 09:00:00,XAUUSD,M5,4012.98,4016.61,4007.67,4015.71,418,0,5
2025-10-31 09:05:00,XAUUSD,M5,4015.52,4016.71,4008.85,4009.02,433,0,16
2025-10-31 09:10:00,XAUUSD,M5,4008.91,4015.56,4007.61,4015.53,421,0,15
2025-10-31 09:15:00,XAUUSD,M5,4015.59,4020.4,4014.19,4017.58,417,0,5
2025-10-31 09:20:00,XAUUSD,M5,4017.92,4023.19,4017.87,4020.64,401,0,16
2025-10-31 09:25:00,XAUUSD,M5,4020.55,4023.7,4018.92,4023.46,376,0,5
2025-10-31 09:30:00,XAUUSD,M5,4023.46,4025.3,4020.85,4021.04,411,0,5
2025-10-31 09:35:00,XAUUSD,M5,4021.14,4021.28,4017.69,4018.57,402,0,16
2025-10-31 09:40:00,XAUUSD,M5,4018.56,4019.27,4012.05,4012.33,386,0,5
2025-10-31 09:45:00,XAUUSD,M5,4012.54,4019.85,4012.52,4018.29,378,0,6
2025-10-31 09:50:00,XAUUSD,M5,4018.15,4018.56,4015.4,4017.38,342,0,5
2025-10-31 09:55:00,XAUUSD,M5,4017.64,4023.89,4017.63,4021.03,432,0,5
2025-10-31 10:00:00,XAUUSD,M5,4021.21,4024.52,4019.05,4022.94,430,0,5
2025-10-31 10:05:00,XAUUSD,M5,4022.98,4026.76,4022.92,4026.08,389,0,5
2025-10-31 10:10:00,XAUUSD,M5,4026.08,4026.58,4023.07,4023.35,406,0,5
2025-10-31 10:15:00,XAUUSD,M5,4023.04,4023.19,4020.72,4022.13,401,0,5
2025-10-31 10:20:00,XAUUSD,M5,4021.89,4024.12,4020.15,4021.26,368,0,5
2025-10-31 10:25:00,XAUUSD,M5,4021.25,4023.17,4018.27,4020.91,390,0,13
2025-10-31 10:30:00,XAUUSD,M5,4021.39,4023.48,4018.88,4019.15,387,0,5
2025-10-31 10:35:00,XAUUSD,M5,4019.11,4022.15,4018.79,4022.15,396,0,12
2025-10-31 10:40:00,XAUUSD,M5,4022.12,4025.96,4019.44,4019.93,417,0,16
2025-10-31 10:45:00,XAUUSD,M5,4019.96,4021.05,4017.79,4020.16,398,0,6
2025-10-31 10:50:00,XAUUSD,M5,4020.16,4020.16,4006.52,4007.6,425,0,7
2025-10-31 10:55:00,XAUUSD,M5,4007.53,4011.26,4007.2,4010.4,432,0,15
2025-10-31 11:00:00,XAUUSD,M5,4010.37,4013.89,4008.36,4012.32,429,0,9
2025-10-31 11:05:00,XAUUSD,M5,4012.34,4013.06,4008.52,4010.16,397,0,5
2025-10-31 11:10:00,XAUUSD,M5,4010.13,4010.16,4006.55,4006.67,355,0,5
2025-10-31 11:15:00,XAUUSD,M5,4006.35,4008.2,4003.69,4003.7,390,0,16
2025-10-31 11:20:00,XAUUSD,M5,4003.71,4004.26,3998.93,4002.85,443,0,15
2025-10-31 11:25:00,XAUUSD,M5,4003.06,4005.08,4001.92,4002.44,380,0,16
2025-10-31 11:30:00,XAUUSD,M5,4002.69,4006.62,4000.28,4006.47,377,0,5
2025-10-31 11:35:00,XAUUSD,M5,4006.95,4007.02,4002.35,4003.08,397,0,16
2025-10-31 11:40:00,XAUUSD,M5,4003.01,4004.72,4002.47,4004.04,350,0,5
2025-10-31 11:45:00,XAUUSD,M5,4004.24,4005.8,4000.47,4001.18,382,0,15
2025-10-31 11:50:00,XAUUSD,M5,4001.31,4003.51,4000.41,4003.32,369,0,17
